,value_z,momentum_z,quality_z,low_vol_z,composite
T,3.2028,-0.4948,-0.1391,0.4814,0.7626
MA,-0.8344,-0.2692,2.7569,0.8516,0.6262
VZ,1.9056,0.205,-0.3911,0.68,0.5999
PFE,0.5857,0.1488,0.2854,1.0119,0.5079
CVX,1.0053,0.6534,-0.2069,0.5747,0.5066
V,-0.7261,-0.0567,1.679,0.8422,0.4346
KO,-0.428,0.6114,0.2919,0.9838,0.3648
GOOGL,0.1675,0.7051,0.7265,-0.1467,0.3631
XOM,0.7318,0.8972,-0.5725,0.3815,0.3595
AAPL,-0.967,0.2956,1.534,0.4769,0.3349
NVDA,-0.6757,0.1201,2.0272,-0.4375,0.2585
MRK,-1.143,1.8074,0.1353,0.1207,0.2301
CSCO,-0.5896,1.3881,0.3666,-0.3571,0.202
DIS,1.2842,-0.5143,-0.5184,0.5062,0.1894
PEP,0.1841,-0.3067,-0.2565,0.9245,0.1364
PG,-0.0692,-0.4613,0.0377,1.0015,0.1272
ADBE,0.4997,-0.8505,1.5051,-0.9581,0.0491
AMZN,0.1212,0.1154,0.111,-0.2395,0.027
GS,1.141,0.4549,-1.857,-0.0318,-0.0732
MSFT,-0.4243,-0.4197,0.6741,-0.2679,-0.1095
UNH,0.2087,0.0268,-1.0203,0.3455,-0.1098
LMT,-0.184,0.0145,-0.8437,0.2615,-0.1879
CAT,-0.8093,1.4922,-0.8031,-0.6779,-0.1995
COST,-0.8764,-0.3152,-0.8258,0.9874,-0.2575
META,-0.367,-0.9835,0.9277,-0.7484,-0.2928
CRM,0.0703,-0.1284,0.4093,-1.6223,-0.3178
HD,-0.2941,-0.8617,-0.645,0.4856,-0.3288
WMT,-0.7087,-0.314,-0.7841,0.4795,-0.3318
NFLX,-0.29,-1.2717,0.2883,-0.1142,-0.3469
GE,-0.8513,-0.0564,-0.4279,-0.1367,-0.3681
NKE,0.6121,-1.5548,-0.3115,-0.2698,-0.381
IBM,0.0164,-0.7947,-0.1928,-1.7485,-0.6799
BA,-1.224,-0.4875,-2.0201,-0.0949,-0.9566
ORCL,-0.3322,-1.6541,-0.1877,-1.9907,-1.0412
TSLA,-1.4433,-0.8577,-0.977,-1.1822,-1.115
ABBV,-1.3829,0.0025,,0.5759,
BAC,2.2062,0.2164,,0.9445,
INTC,,4.1775,-0.7758,-3.838,
JPM,1.1111,0.0256,,0.948,
MCD,-0.4333,-0.7048,,0.9975,
