,rolling_factor_portfolio,benchmark
2023-10-31,1.0,1.0
2023-11-30,1.0947084955076902,1.0891792687819701
2023-12-29,1.1077375202365956,1.1373528304316431
2024-01-31,1.194321911523487,1.1554318584610699
2024-02-29,1.2673193830985652,1.2151915343777353
2024-03-28,1.2882336869687812,1.2528852931375862
2024-04-30,1.2213329355912466,1.2007463817843071
2024-05-31,1.2836633332379521,1.2584076521073357
2024-06-28,1.3105224224234757,1.3020363953390084
2024-07-31,1.2954514658369811,1.3167771619701796
2024-08-30,1.3115275633064807,1.3468453825646165
2024-09-30,1.3548375042536924,1.3740474626442356
2024-10-31,1.3527882983600579,1.3604488676200985
2024-11-29,1.4267562380432735,1.4384043501718846
2024-12-31,1.4068897278718695,1.4024584283299542
2025-01-31,1.456207330442963,1.4403476719142914
2025-02-28,1.5001574015831782,1.4198341068509106
2025-03-31,1.4211594517030015,1.3381301824144693
2025-04-30,1.4005504384044338,1.3279270155835985
2025-05-30,1.4505658438590816,1.4096261664180125
2025-06-30,1.4878562096053771,1.4795532653650023
2025-07-31,1.415913898289357,1.511610098706447
2025-08-29,1.439187367579343,1.5404311284492476
2025-09-30,1.4492431923917317,1.5948448358125404
2025-10-31,1.4528443437737661,1.6310268763108486
2025-11-28,1.4367750920959443,1.6331465884696321
2025-12-31,1.4457684379569813,1.632290600125604
2026-01-30,1.4838750790711248,1.6545925195094786
2026-02-27,1.5115445156601928,1.6402499411449798
2026-03-31,1.5183501449157257,1.556707597781416
2026-04-30,1.5596970248677016,1.7189685014452372
2026-05-29,1.548909328830476,1.8074444207187368
2026-06-30,1.4530151647405967,1.7882016816584938
2026-07-31,1.5746194519467624,1.7859031340676608
2026-08-31,1.6497024044165713,1.8327389228564954
2026-09-23,1.626337060626132,1.837481554685337
