date,holdings
2023-10-31,"META,MA,T,NVDA,ADBE,V,VZ,PG,GOOGL,AAPL"
2023-11-30,"META,NVDA,MA,ADBE,T,V,AAPL,PG,VZ,MSFT"
2023-12-29,"NVDA,MA,META,ADBE,V,T,AAPL,CRM,MSFT,VZ"
2024-01-31,"META,NVDA,MA,ADBE,T,V,MSFT,AAPL,CRM,GOOGL"
2024-02-29,"ADBE,MA,T,NVDA,V,MSFT,VZ,CRM,GOOGL,AAPL"
2024-03-28,"MA,NVDA,T,V,VZ,MSFT,META,ADBE,AMZN,AAPL"
2024-04-30,"NVDA,T,MA,V,VZ,AMZN,ADBE,MSFT,CVX,GOOGL"
2024-05-31,"T,MA,NVDA,V,VZ,CVX,AMZN,GE,GOOGL,PG"
2024-06-28,"T,NVDA,MA,VZ,V,GOOGL,CVX,MSFT,PG,AMZN"
2024-07-31,"T,NVDA,VZ,MA,V,GOOGL,MSFT,AMZN,CVX,NFLX"
2024-08-30,"T,MA,VZ,NVDA,V,META,GOOGL,MSFT,GS,KO"
2024-09-30,"T,MA,VZ,NVDA,NFLX,V,KO,META,ADBE,MSFT"
2024-10-31,"T,MA,NVDA,VZ,META,GOOGL,V,IBM,KO,NFLX"
2024-11-29,"T,NVDA,MA,VZ,META,GOOGL,V,CVX,NFLX,KO"
2024-12-31,"T,NVDA,MA,VZ,V,NFLX,DIS,META,CVX,AAPL"
2025-01-31,"T,MA,VZ,NVDA,V,AAPL,META,GOOGL,DIS,CVX"
2025-02-28,"T,MA,VZ,V,GOOGL,META,AAPL,CSCO,NFLX,DIS"
2025-03-31,"T,MA,V,VZ,AAPL,CSCO,META,NFLX,CVX,KO"
2025-04-30,"T,MA,VZ,V,NFLX,IBM,CSCO,KO,PFE,CVX"
2025-05-30,"T,MA,VZ,V,NFLX,KO,IBM,CSCO,PFE,ADBE"
2025-06-30,"T,MA,VZ,V,NFLX,IBM,CSCO,KO,PFE,ADBE"
2025-07-31,"T,NFLX,MA,VZ,V,CSCO,DIS,IBM,KO,META"
2025-08-29,"T,MA,VZ,V,NFLX,MSFT,DIS,GOOGL,CSCO,NVDA"
2025-09-30,"T,MA,VZ,NFLX,V,GOOGL,NVDA,CVX,DIS,CSCO"
2025-10-31,"T,MA,VZ,NVDA,GOOGL,V,MSFT,NFLX,CVX,DIS"
2025-11-28,"T,GOOGL,MA,NVDA,VZ,MSFT,V,GE,CVX,AAPL"
2025-12-31,"T,GOOGL,MA,VZ,GE,CVX,V,NVDA,MSFT,KO"
2026-01-30,"T,GOOGL,NVDA,MA,VZ,CVX,V,AAPL,CSCO,XOM"
2026-02-27,"GOOGL,T,MA,VZ,NVDA,CVX,XOM,PFE,KO,AAPL"
2026-03-31,"T,GOOGL,VZ,MA,CVX,NVDA,AAPL,XOM,KO,PFE"
2026-04-30,"T,CVX,GOOGL,VZ,XOM,PFE,MA,NVDA,AAPL,PEP"
2026-05-29,"GOOGL,T,VZ,CVX,PFE,AAPL,MA,NVDA,XOM,KO"
2026-06-30,"GOOGL,T,AAPL,VZ,PFE,MA,CVX,KO,V,NVDA"
2026-07-31,"T,GOOGL,MA,PFE,VZ,CVX,AAPL,V,KO,XOM"
2026-08-31,"T,VZ,GOOGL,MA,CVX,PFE,AAPL,V,KO,XOM"
